date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2023-01-03,36081,queens,pm25,16.9,1,Micrograms/cubic meter (LC),0124
2023-01-06,36081,queens,pm25,5.0,1,Micrograms/cubic meter (LC),0124
2023-01-09,36081,queens,pm25,8.3,1,Micrograms/cubic meter (LC),0124
2023-01-12,36081,queens,pm25,5.9,1,Micrograms/cubic meter (LC),0124
2023-01-15,36081,queens,pm25,3.0,1,Micrograms/cubic meter (LC),0124
2023-01-18,36081,queens,pm25,5.9,1,Micrograms/cubic meter (LC),0124
2023-01-21,36081,queens,pm25,2.3,1,Micrograms/cubic meter (LC),0124
2023-01-24,36081,queens,pm25,4.5,1,Micrograms/cubic meter (LC),0124
2023-01-27,36081,queens,pm25,5.6,1,Micrograms/cubic meter (LC),0124
2023-01-30,36081,queens,pm25,12.2,1,Micrograms/cubic meter (LC),0124
2023-02-02,36081,queens,pm25,10.0,1,Micrograms/cubic meter (LC),0124
2023-02-05,36081,queens,pm25,6.7,1,Micrograms/cubic meter (LC),0124
2023-02-08,36081,queens,pm25,12.0,1,Micrograms/cubic meter (LC),0124
2023-02-11,36081,queens,pm25,3.5,1,Micrograms/cubic meter (LC),0124
2023-02-14,36081,queens,pm25,5.1,1,Micrograms/cubic meter (LC),0124
2023-02-17,36081,queens,pm25,7.6,1,Micrograms/cubic meter (LC),0124
2023-02-20,36081,queens,pm25,8.1,1,Micrograms/cubic meter (LC),0124
2023-02-23,36081,queens,pm25,4.9,1,Micrograms/cubic meter (LC),0124
2023-02-26,36081,queens,pm25,16.8,1,Micrograms/cubic meter (LC),0124
2023-03-01,36081,queens,pm25,5.2,1,Micrograms/cubic meter (LC),0124
2023-03-04,36081,queens,pm25,2.4,1,Micrograms/cubic meter (LC),0124
2023-03-07,36081,queens,pm25,2.6,1,Micrograms/cubic meter (LC),0124
2023-03-10,36081,queens,pm25,4.3,1,Micrograms/cubic meter (LC),0124
2023-03-13,36081,queens,pm25,4.2,1,Micrograms/cubic meter (LC),0124
2023-03-16,36081,queens,pm25,5.1,1,Micrograms/cubic meter (LC),0124
2023-03-19,36081,queens,pm25,2.6,1,Micrograms/cubic meter (LC),0124
2023-03-22,36081,queens,pm25,5.4,1,Micrograms/cubic meter (LC),0124
2023-03-25,36081,queens,pm25,4.3,1,Micrograms/cubic meter (LC),0124
2023-03-28,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2023-03-31,36081,queens,pm25,7.7,1,Micrograms/cubic meter (LC),0124
2023-04-03,36081,queens,pm25,4.4,1,Micrograms/cubic meter (LC),0124
2023-04-06,36081,queens,pm25,7.3,1,Micrograms/cubic meter (LC),0124
2023-04-09,36081,queens,pm25,4.6,1,Micrograms/cubic meter (LC),0124
2023-04-12,36081,queens,pm25,10.1,1,Micrograms/cubic meter (LC),0124
2023-04-15,36081,queens,pm25,5.5,1,Micrograms/cubic meter (LC),0124
2023-04-18,36081,queens,pm25,2.9,1,Micrograms/cubic meter (LC),0124
2023-04-21,36081,queens,pm25,5.8,1,Micrograms/cubic meter (LC),0124
2023-04-24,36081,queens,pm25,3.8,1,Micrograms/cubic meter (LC),0124
2023-04-27,36081,queens,pm25,6.6,1,Micrograms/cubic meter (LC),0124
2023-04-30,36081,queens,pm25,2.0,1,Micrograms/cubic meter (LC),0124
2023-05-03,36081,queens,pm25,2.5,1,Micrograms/cubic meter (LC),0124
2023-05-06,36081,queens,pm25,5.1,1,Micrograms/cubic meter (LC),0124
2023-05-09,36081,queens,pm25,3.7,1,Micrograms/cubic meter (LC),0124
2023-05-12,36081,queens,pm25,14.7,1,Micrograms/cubic meter (LC),0124
2023-05-15,36081,queens,pm25,4.9,1,Micrograms/cubic meter (LC),0124
2023-05-18,36081,queens,pm25,3.4,1,Micrograms/cubic meter (LC),0124
